label,area,eccentricity,solidity,mean_intensity,perimeter,equivalent_diameter_area
1,261.0,0.7681238353219253,0.9490909090909091,0.2658102810382843,61.35533905932738,18.229523339239496
2,221.0,0.6180638125276129,0.9444444444444444,0.22051283717155457,54.2842712474619,16.774562271083887
3,463.0,0.821701797758179,0.7223088923556942,0.2587134540081024,127.71067811865476,24.279825147895533
4,1037.0,0.8836619223913762,0.6973772696704774,0.28358200192451477,185.09545442950497,36.33661249883324
5,223.0,0.779992329962398,0.9570815450643777,0.30486243963241577,55.941125496954285,16.85029431422316
6,960.0,0.9269247332969736,0.7447633824670287,0.30107027292251587,173.48023074035524,34.961549778946534
7,253.0,0.8114071121936156,0.9844357976653697,0.3087654411792755,58.62741699796952,17.94796937867892
8,102.0,0.6496240249074936,0.9532710280373832,0.20411382615566254,36.62741699796952,11.396070970426017
9,483.0,0.822325105482353,0.7828200972447326,0.27973857522010803,110.8111831820431,24.798683434954437
10,353.0,0.812165970999787,0.8651960784313726,0.26754432916641235,79.84062043356595,21.200319792199185
11,80.0,0.731583384058409,0.9302325581395349,0.21382352709770203,33.21320343559643,10.092530088080641
12,211.0,0.802436657061048,0.9461883408071748,0.2669454514980316,55.11269837220809,16.39065416446578
13,62.0,0.729809238309065,0.9538461538461539,0.2358001321554184,27.31370849898476,8.884866446580956
14,984.0,0.9646863391836039,0.7639751552795031,0.26607683300971985,186.75230867899737,35.39587139793849
15,142.0,0.818879808323799,0.9594594594594594,0.29505661129951477,43.798989873223334,13.446189622059965
16,225.0,0.8866092627641682,0.8653846153846154,0.2267189770936966,65.59797974644667,16.925687506432688
17,136.0,0.40885497653420616,0.9927007299270073,0.29899078607559204,39.798989873223334,13.159049284959082
18,95.0,0.7081606374464345,0.9895833333333334,0.29362231492996216,33.55634918610404,10.998079684646791
19,412.0,0.6970957064069927,0.8917748917748918,0.25644394755363464,83.49747468305833,22.903595622322865
20,856.0,0.9022831858161906,0.8270531400966183,0.2506001591682434,144.71067811865476,33.01352829210018
21,382.0,0.33564442886398804,0.9769820971867008,0.24016015231609344,69.94112549695427,22.05396803500069
22,684.0,0.5430701581456108,0.7459105779716467,0.2850361466407776,141.78174593052023,29.51094455619561
23,48.0,0.767922701861374,0.9795918367346939,0.2376634031534195,23.31370849898476,7.817640190446719
24,230.0,0.6262656651418842,0.9787234042553191,0.30161982774734497,54.2842712474619,17.112717355495807
25,222.0,0.6928184040161388,0.961038961038961,0.27525174617767334,54.87005768508881,16.812470934731934
26,179.0,0.7502664354141579,0.9572192513368984,0.23871181905269623,49.698484809834994,15.09668435477122
27,210.0,0.595916306526246,0.9905660377358491,0.30939313769340515,50.62741699796952,16.351767622932517
28,107.0,0.7309797581320021,1.0,0.3031702935695648,35.798989873223334,11.67204486311899
29,95.0,0.7790487751555873,1.0,0.2970898151397705,34.14213562373095,10.998079684646791
30,155.0,0.687316430104239,0.9810126582278481,0.3045414686203003,43.798989873223334,14.048207338801282
31,319.0,0.7005108127295523,0.9845679012345679,0.317007839679718,64.2842712474619,20.153496341094687
32,91.0,0.6802402543145134,0.978494623655914,0.2550312280654907,32.97056274847714,10.764051215546116
33,354.0,0.7408504389218448,0.9123711340206185,0.29690927267074585,74.42640687119285,21.23032733700184
34,803.0,0.9000905606658859,0.7286751361161524,0.26301372051239014,170.16652224137044,31.975167777860612
35,96.0,0.48742733340312405,0.9504950495049505,0.26948532462120056,34.14213562373095,11.055812783082736
36,445.0,0.9094304537216406,0.8829365079365079,0.260013222694397,93.74011537017762,23.803184606416586
37,52.0,0.7197706610169003,0.9454545454545454,0.20263952016830444,25.79898987322333,8.136857890256438
38,160.0,0.6940247241236165,0.9523809523809523,0.22289219498634338,46.2842712474619,14.27299292922217
39,114.0,0.8004839435284458,0.9743589743589743,0.2550051808357239,38.14213562373095,12.047792665040703
40,122.0,0.7015066240438635,0.9457364341085271,0.23339763283729553,39.79898987322333,12.463355264843006
41,328.0,0.8141639397116215,0.9425287356321839,0.2938307225704193,70.76955262170047,20.435815879801165
42,275.0,0.6517962300944322,0.9515570934256056,0.2294474095106125,63.59797974644666,18.712051592547777
43,151.0,0.6504641206863245,0.9741935483870968,0.2282041311264038,43.21320343559643,13.86575534383214
