base_image,variant,n_objects_clean,n_objects_corrupted,mean_area_clean,mean_area_corrupted,gate_passed_clean,gate_passed_corrupted,gate_reason_corrupted,gate_caught_it
test_000,blur,8,7,191.9,447.6,True,True,ok,False
test_000,lowcontrast,8,1,191.9,65536.0,True,True,ok,False
test_000,noise,8,1716,191.9,4.9,True,False,too many objects (likely noise / over-segmentation),True
test_004,blur,42,9,337.7,3271.0,True,True,ok,False
test_004,lowcontrast,42,1,337.7,65536.0,True,True,ok,False
test_004,noise,42,1272,337.7,12.4,True,False,too many objects (likely noise / over-segmentation),True
